From	Entry	Entry Name	Protein names	Gene Names	Gene Ontology (biological process)
P30566	P30566	PUR8_HUMAN	Adenylosuccinate lyase (ADSL) (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase)	ADSL AMPS	'de novo' AMP biosynthetic process [GO:0044208]; 'de novo' IMP biosynthetic process [GO:0006189]; 'de novo' XMP biosynthetic process [GO:0097294]; aerobic respiration [GO:0009060]; AMP biosynthetic process [GO:0006167]; AMP salvage [GO:0044209]; GMP biosynthetic process [GO:0006177]; purine nucleotide biosynthetic process [GO:0006164]; response to hypoxia [GO:0001666]; response to muscle activity [GO:0014850]; response to nutrient [GO:0007584]; response to starvation [GO:0042594]
Q9Y394	Q9Y394	DHRS7_HUMAN	Dehydrogenase/reductase SDR family member 7 (EC 1.1.1.-) (Retinal short-chain dehydrogenase/reductase 4) (retSDR4) (Short chain dehydrogenase/reductase family 34C member 1) (Protein SDR34C1)	DHRS7 DHRS7A RETSDR4 SDR34C1 CGI-86 UNQ285/PRO3448	
Q9BY44	Q9BY44	EIF2A_HUMAN	Eukaryotic translation initiation factor 2A (eIF-2A) (65 kDa eukaryotic translation initiation factor 2A) [Cleaved into: Eukaryotic translation initiation factor 2A, N-terminally processed]	EIF2A CDA02 MSTP004 MSTP089	positive regulation of signal transduction [GO:0009967]; protein phosphorylation [GO:0006468]; regulation of translation [GO:0006417]; response to amino acid starvation [GO:1990928]; ribosome assembly [GO:0042255]; SREBP signaling pathway [GO:0032933]
Q9BX68	Q9BX68	HINT2_HUMAN	Adenosine 5'-monophosphoramidase HINT2 (EC 3.9.1.-) (HINT-3) (HIT-17kDa) (Histidine triad nucleotide-binding protein 2, mitochondrial) (HINT-2) (PKCI-1-related HIT protein)	HINT2	apoptotic process [GO:0006915]; lipid catabolic process [GO:0016042]; negative regulation of peptidyl-lysine acetylation [GO:2000757]; steroid biosynthetic process [GO:0006694]
P22694	P22694	KAPCB_HUMAN	cAMP-dependent protein kinase catalytic subunit beta (PKA C-beta) (EC 2.7.11.11)	PRKACB	adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]; high-density lipoprotein particle assembly [GO:0034380]; negative regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning [GO:1901621]; neural tube closure [GO:0001843]; protein kinase A signaling [GO:0010737]; protein phosphorylation [GO:0006468]; regulation of protein processing [GO:0070613]; renal water homeostasis [GO:0003091]; signal transduction [GO:0007165]
Q08945	Q08945	SSRP1_HUMAN	FACT complex subunit SSRP1 (Chromatin-specific transcription elongation factor 80 kDa subunit) (Facilitates chromatin transcription complex 80 kDa subunit) (FACT 80 kDa subunit) (FACTp80) (Facilitates chromatin transcription complex subunit SSRP1) (Recombination signal sequence recognition protein 1) (Structure-specific recognition protein 1) (hSSRP1) (T160)	SSRP1 FACT80	DNA repair [GO:0006281]; DNA replication [GO:0006260]; nucleosome assembly [GO:0006334]; nucleosome disassembly [GO:0006337]; regulation of chromatin organization [GO:1902275]
P61960	P61960	UFM1_HUMAN	Ubiquitin-fold modifier 1	UFM1 C13orf20 BM-002	brain development [GO:0007420]; negative regulation of apoptotic process [GO:0043066]; negative regulation of protein import into nucleus [GO:0042308]; protein K69-linked ufmylation [GO:1990592]; protein ufmylation [GO:0071569]; regulation of intracellular estrogen receptor signaling pathway [GO:0033146]; response to endoplasmic reticulum stress [GO:0034976]; reticulophagy [GO:0061709]
Q969G3	Q969G3	SMCE1_HUMAN	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 (BRG1-associated factor 57) (BAF57)	SMARCE1 BAF57	chromatin remodeling [GO:0006338]; negative regulation of DNA-templated transcription [GO:0045892]; neurogenesis [GO:0022008]; nucleosome disassembly [GO:0006337]; positive regulation of cell differentiation [GO:0045597]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of myoblast differentiation [GO:0045663]; positive regulation of stem cell population maintenance [GO:1902459]; positive regulation of T cell differentiation [GO:0045582]; regulation of G0 to G1 transition [GO:0070316]; regulation of G1/S transition of mitotic cell cycle [GO:2000045]; regulation of mitotic metaphase/anaphase transition [GO:0030071]; regulation of nucleotide-excision repair [GO:2000819]; regulation of transcription by RNA polymerase II [GO:0006357]
Q15436	Q15436	SC23A_HUMAN	Protein transport protein Sec23A (hSec23A) (SEC23-related protein A)	SEC23A	COPII-coated vesicle cargo loading [GO:0090110]; intracellular protein transport [GO:0006886]; protein localization to plasma membrane [GO:0072659]
P42574	P42574	CASP3_HUMAN	Caspase-3 (CASP-3) (EC 3.4.22.56) (Apopain) (Cysteine protease CPP32) (CPP-32) (Protein Yama) (SREBP cleavage activity 1) (SCA-1) [Cleaved into: Caspase-3 subunit p17; Caspase-3 subunit p12]	CASP3 CPP32	anterior neural tube closure [GO:0061713]; apoptotic process [GO:0006915]; apoptotic signaling pathway [GO:0097190]; axonal fasciculation [GO:0007413]; B cell homeostasis [GO:0001782]; cell fate commitment [GO:0045165]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to staurosporine [GO:0072734]; epithelial cell apoptotic process [GO:1904019]; erythrocyte differentiation [GO:0030218]; execution phase of apoptosis [GO:0097194]; fibroblast apoptotic process [GO:0044346]; glial cell apoptotic process [GO:0034349]; heart development [GO:0007507]; hippocampus development [GO:0021766]; intrinsic apoptotic signaling pathway [GO:0097193]; intrinsic apoptotic signaling pathway in response to osmotic stress [GO:0008627]; keratinocyte differentiation [GO:0030216]; learning or memory [GO:0007611]; leukocyte apoptotic process [GO:0071887]; luteolysis [GO:0001554]; negative regulation of activated T cell proliferation [GO:0046007]; negative regulation of apoptotic process [GO:0043066]; negative regulation of B cell proliferation [GO:0030889]; neuron apoptotic process [GO:0051402]; neuron differentiation [GO:0030182]; neurotrophin TRK receptor signaling pathway [GO:0048011]; platelet formation [GO:0030220]; positive regulation of amyloid-beta formation [GO:1902004]; positive regulation of apoptotic DNA fragmentation [GO:1902512]; positive regulation of apoptotic process [GO:0043065]; positive regulation of neuron apoptotic process [GO:0043525]; protein catabolic process [GO:0030163]; protein processing [GO:0016485]; proteolysis [GO:0006508]; regulation of macroautophagy [GO:0016241]; regulation of protein stability [GO:0031647]; response to amino acid [GO:0043200]; response to antibiotic [GO:0046677]; response to cobalt ion [GO:0032025]; response to estradiol [GO:0032355]; response to glucocorticoid [GO:0051384]; response to glucose [GO:0009749]; response to hydrogen peroxide [GO:0042542]; response to hypoxia [GO:0001666]; response to lipopolysaccharide [GO:0032496]; response to nicotine [GO:0035094]; response to tumor necrosis factor [GO:0034612]; response to UV [GO:0009411]; response to X-ray [GO:0010165]; response to xenobiotic stimulus [GO:0009410]; sensory perception of sound [GO:0007605]; striated muscle cell differentiation [GO:0051146]; T cell homeostasis [GO:0043029]; wound healing [GO:0042060]
P41236	P41236	IPP2_HUMAN	Protein phosphatase inhibitor 2 (IPP-2)	PPP1R2 IPP2	generation of precursor metabolites and energy [GO:0006091]; glycogen metabolic process [GO:0005977]; regulation of phosphoprotein phosphatase activity [GO:0043666]; regulation of signal transduction [GO:0009966]
P26440	P26440	IVD_HUMAN	Isovaleryl-CoA dehydrogenase, mitochondrial (IVD) (EC 1.3.8.4) (Butyryl-CoA dehydrogenase) (EC 1.3.8.1)	IVD	branched-chain amino acid catabolic process [GO:0009083]; fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]; leucine catabolic process [GO:0006552]
Q9Y3E5	Q9Y3E5	PTH2_HUMAN	Peptidyl-tRNA hydrolase 2, mitochondrial (PTH 2) (EC 3.1.1.29) (Bcl-2 inhibitor of transcription 1)	PTRH2 BIT1 PTH2 CGI-147	apoptotic process [GO:0006915]; negative regulation of anoikis [GO:2000811]; negative regulation of gene expression [GO:0010629]; positive regulation of anoikis [GO:2000210]
O94903	O94903	PLPHP_HUMAN	Pyridoxal phosphate homeostasis protein (PLP homeostasis protein) (Proline synthase co-transcribed bacterial homolog protein) (Pyridoxal phosphate-binding protein)	PLPBP PROSC	
P46108	P46108	CRK_HUMAN	Adapter molecule crk (Proto-oncogene c-Crk) (p38)	CRK	actin cytoskeleton organization [GO:0030036]; activation of GTPase activity [GO:0090630]; cell chemotaxis [GO:0060326]; cell migration [GO:0016477]; cell population proliferation [GO:0008283]; cellular response to endothelin [GO:1990859]; cellular response to insulin-like growth factor stimulus [GO:1990314]; cellular response to nerve growth factor stimulus [GO:1990090]; cellular response to nitric oxide [GO:0071732]; cellular response to transforming growth factor beta stimulus [GO:0071560]; cerebellar neuron development [GO:0098749]; cerebral cortex development [GO:0021987]; dendrite development [GO:0016358]; ephrin receptor signaling pathway [GO:0048013]; establishment of cell polarity [GO:0030010]; helper T cell diapedesis [GO:0035685]; hippocampus development [GO:0021766]; lipid metabolic process [GO:0006629]; negative regulation of cell motility [GO:2000146]; negative regulation of natural killer cell mediated cytotoxicity [GO:0045953]; negative regulation of wound healing [GO:0061045]; neuron migration [GO:0001764]; positive regulation of cell growth [GO:0030307]; positive regulation of JNK cascade [GO:0046330]; positive regulation of smooth muscle cell migration [GO:0014911]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; protein localization to membrane [GO:0072657]; reelin-mediated signaling pathway [GO:0038026]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of cell adhesion mediated by integrin [GO:0033628]; regulation of cell shape [GO:0008360]; regulation of dendrite development [GO:0050773]; regulation of GTPase activity [GO:0043087]; regulation of intracellular signal transduction [GO:1902531]; regulation of protein binding [GO:0043393]; regulation of Rac protein signal transduction [GO:0035020]; regulation of signal transduction [GO:0009966]; regulation of T cell migration [GO:2000404]; regulation of transcription by RNA polymerase II [GO:0006357]; response to cholecystokinin [GO:0061847]; response to hepatocyte growth factor [GO:0035728]; response to hydrogen peroxide [GO:0042542]; response to yeast [GO:0001878]; signal transduction [GO:0007165]
Q9BPX5	Q9BPX5	ARP5L_HUMAN	Actin-related protein 2/3 complex subunit 5-like protein (Arp2/3 complex 16 kDa subunit 2) (ARC16-2)	ARPC5L	Arp2/3 complex-mediated actin nucleation [GO:0034314]; cell migration [GO:0016477]; regulation of actin filament polymerization [GO:0030833]
Q99943	Q99943	PLCA_HUMAN	1-acyl-sn-glycerol-3-phosphate acyltransferase alpha (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 1) (1-AGP acyltransferase 1) (1-AGPAT 1) (Lysophosphatidic acid acyltransferase alpha) (LPAAT-alpha) (Protein G15)	AGPAT1 G15	CDP-diacylglycerol biosynthetic process [GO:0016024]; phosphatidic acid biosynthetic process [GO:0006654]; phospholipid metabolic process [GO:0006644]; positive regulation of cytokine production [GO:0001819]; positive regulation of cytokine-mediated signaling pathway [GO:0001961]
Q02818	Q02818	NUCB1_HUMAN	Nucleobindin-1 (CALNUC)	NUCB1 NUC	small GTPase mediated signal transduction [GO:0007264]
Q14195	Q14195	DPYL3_HUMAN	Dihydropyrimidinase-related protein 3 (DRP-3) (Collapsin response mediator protein 4) (CRMP-4) (Unc-33-like phosphoprotein 1) (ULIP-1)	DPYSL3 CRMP4 DRP3 ULIP ULIP1	actin crosslink formation [GO:0051764]; actin filament bundle assembly [GO:0051017]; cellular response to cytokine stimulus [GO:0071345]; negative regulation of cell migration [GO:0030336]; negative regulation of neuron projection development [GO:0010977]; neuron development [GO:0048666]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of neuron projection development [GO:0010976]; response to axon injury [GO:0048678]
P15924	P15924	DESP_HUMAN	Desmoplakin (DP) (250/210 kDa paraneoplastic pemphigus antigen)	DSP	adherens junction organization [GO:0034332]; bundle of His cell-Purkinje myocyte adhesion involved in cell communication [GO:0086073]; cell-cell adhesion [GO:0098609]; desmosome organization [GO:0002934]; epidermis development [GO:0008544]; epithelial cell-cell adhesion [GO:0090136]; intermediate filament cytoskeleton organization [GO:0045104]; intermediate filament organization [GO:0045109]; keratinocyte differentiation [GO:0030216]; peptide cross-linking [GO:0018149]; protein localization to cell-cell junction [GO:0150105]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of ventricular cardiac muscle cell action potential [GO:0098911]; skin development [GO:0043588]; ventricular compact myocardium morphogenesis [GO:0003223]; wound healing [GO:0042060]
P51553	P51553	IDH3G_HUMAN	Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial (Isocitric dehydrogenase subunit gamma) (NAD(+)-specific ICDH subunit gamma)	IDH3G	carbohydrate metabolic process [GO:0005975]; isocitrate metabolic process [GO:0006102]; tricarboxylic acid cycle [GO:0006099]
P05362	P05362	ICAM1_HUMAN	Intercellular adhesion molecule 1 (ICAM-1) (Major group rhinovirus receptor) (CD antigen CD54)	ICAM1	adhesion of symbiont to host [GO:0044406]; cell adhesion [GO:0007155]; cell adhesion mediated by integrin [GO:0033627]; cellular response to amyloid-beta [GO:1904646]; cellular response to glucose stimulus [GO:0071333]; cellular response to leukemia inhibitory factor [GO:1990830]; establishment of endothelial barrier [GO:0061028]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; leukocyte cell-cell adhesion [GO:0007159]; leukocyte migration [GO:0050900]; membrane to membrane docking [GO:0022614]; negative regulation of endothelial cell apoptotic process [GO:2000352]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; positive regulation of cellular extravasation [GO:0002693]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; receptor-mediated virion attachment to host cell [GO:0046813]; regulation of leukocyte mediated cytotoxicity [GO:0001910]; regulation of ruffle assembly [GO:1900027]; T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell [GO:0002291]; T cell antigen processing and presentation [GO:0002457]; T cell extravasation [GO:0072683]
Q92504	Q92504	S39A7_HUMAN	Zinc transporter SLC39A7 (Histidine-rich membrane protein Ke4) (Really interesting new gene 5 protein) (Solute carrier family 39 member 7) (Zrt-, Irt-like protein 7) (ZIP7)	SLC39A7 HKE4 RING5	B cell differentiation [GO:0030183]; cellular zinc ion homeostasis [GO:0006882]; zinc ion transmembrane transport [GO:0071577]
Q9UHQ9	Q9UHQ9	NB5R1_HUMAN	NADH-cytochrome b5 reductase 1 (b5R.1) (EC 1.6.2.2) (Humb5R2) (NAD(P)H:quinone oxidoreductase type 3 polypeptide A2)	CYB5R1 NQO3A2 UNQ3049/PRO9865	bicarbonate transport [GO:0015701]; sterol biosynthetic process [GO:0016126]
B5ME19	B5ME19	EIFCL_HUMAN	Eukaryotic translation initiation factor 3 subunit C-like protein	EIF3CL	formation of cytoplasmic translation initiation complex [GO:0001732]; translational initiation [GO:0006413]
P07099	P07099	HYEP_HUMAN	Epoxide hydrolase 1 (EC 3.3.2.9) (Epoxide hydratase) (Microsomal epoxide hydrolase) (mEH)	EPHX1 EPHX EPOX	arachidonic acid metabolic process [GO:0019369]; aromatic compound catabolic process [GO:0019439]; epoxide metabolic process [GO:0097176]; response to organic cyclic compound [GO:0014070]; response to toxic substance [GO:0009636]; xenobiotic metabolic process [GO:0006805]
Q9BWF3	Q9BWF3	RBM4_HUMAN	RNA-binding protein 4 (Lark homolog) (hLark) (RNA-binding motif protein 4) (RNA-binding motif protein 4a)	RBM4 RBM4A	cap-independent translational initiation [GO:0002190]; circadian regulation of gene expression [GO:0032922]; circadian regulation of translation [GO:0097167]; enteroendocrine cell differentiation [GO:0035883]; entrainment of circadian clock by photoperiod [GO:0043153]; insulin secretion involved in cellular response to glucose stimulus [GO:0035773]; IRES-dependent translational initiation of linear mRNA [GO:0002192]; miRNA-mediated gene silencing by inhibition of translation [GO:0035278]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of translation [GO:0017148]; negative regulation of translation in response to stress [GO:0032055]; negative regulation of translational initiation [GO:0045947]; pancreas development [GO:0031016]; positive regulation of muscle cell differentiation [GO:0051149]; positive regulation of translation [GO:0045727]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of insulin receptor signaling pathway [GO:0046626]; regulation of nucleocytoplasmic transport [GO:0046822]; response to arsenic-containing substance [GO:0046685]; RNA processing [GO:0006396]
